Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
SmokeTestSuite,Chrome 106.0.0.0,,,2022-10-10 15:03:36,2022-10-10 15:06:24,2m - 48.585s,FAILED
,,,,,,,
Test Cases/SmokeTestCases/Login,Chrome 106.0.0.0,,,2022-10-10 15:03:36,2022-10-10 15:04:11,34.981s,PASSED
"openBrowser("""")",Chrome 106.0.0.0,,,2022-10-10 15:03:36,2022-10-10 15:03:39,2.114s,PASSED
deleteAllCookies(),Chrome 106.0.0.0,,,2022-10-10 15:03:39,2022-10-10 15:03:39,0.034s,PASSED
maximizeWindow(),Chrome 106.0.0.0,,,2022-10-10 15:03:39,2022-10-10 15:03:39,0.153s,PASSED
"navigateToUrl(""https://dev.embla.no/"")",Chrome 106.0.0.0,,,2022-10-10 15:03:39,2022-10-10 15:03:42,2.964s,PASSED
delay(3),Chrome 106.0.0.0,,,2022-10-10 15:03:42,2022-10-10 15:03:45,3.039s,PASSED
"click(findTestObject(""Objects Base/Page_Embla Norsk Familiehistorie/input_Passord_Email""))",Chrome 106.0.0.0,,,2022-10-10 15:03:45,2022-10-10 15:03:45,0.394s,PASSED
"setText(findTestObject(""Objects Base/Page_Embla Norsk Familiehistorie/input_Passord_Email"", [""variable"":""eranga@embla.asia""]), ""eranga@embla.asia"")",Chrome 106.0.0.0,,,2022-10-10 15:03:45,2022-10-10 15:03:46,0.669s,PASSED
"click(findTestObject(""Objects Base/Page_Embla Norsk Familiehistorie/input_Passord_Password""))",Chrome 106.0.0.0,,,2022-10-10 15:03:46,2022-10-10 15:03:46,0.364s,PASSED
"setText(findTestObject(""Objects Base/Page_Embla Norsk Familiehistorie/input_Passord_Password""), ""test123"")",Chrome 106.0.0.0,,,2022-10-10 15:03:46,2022-10-10 15:03:47,0.643s,PASSED
delay(1),Chrome 106.0.0.0,,,2022-10-10 15:03:47,2022-10-10 15:03:48,1.016s,PASSED
"click(findTestObject(""Objects Base/Page_Embla Norsk Familiehistorie/input_Passord_login_locktop login2""))",Chrome 106.0.0.0,,,2022-10-10 15:03:48,2022-10-10 15:03:57,8.829s,PASSED
"navigateToUrl(""https://dev.embla.no/Account/Login"")",Chrome 106.0.0.0,,,2022-10-10 15:03:57,2022-10-10 15:03:58,1.297s,PASSED
waitForPageLoad(7),Chrome 106.0.0.0,,,2022-10-10 15:03:58,2022-10-10 15:03:58,0.129s,PASSED
"click(findTestObject(""Objects Base/Page_Embla Norsk Familiehistorie/a_Versjon 10""))",Chrome 106.0.0.0,,,2022-10-10 15:03:58,2022-10-10 15:04:08,10.038s,PASSED
delay(3),Chrome 106.0.0.0,,,2022-10-10 15:04:08,2022-10-10 15:04:11,3.008s,PASSED
,,,,,,,
Test Cases/SmokeTestCases/CreateNewFamilyTree,Chrome 106.0.0.0,,,2022-10-10 15:04:11,2022-10-10 15:04:14,3.067s,FAILED
