Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
SmokeTestSuite,Chrome 106.0.0.0,,,2022-10-10 15:40:07,2022-10-10 15:42:49,2m - 42.807s,FAILED
,,,,,,,
Test Cases/SmokeTestCases/Login,Chrome 106.0.0.0,,,2022-10-10 15:40:07,2022-10-10 15:40:49,42.405s,PASSED
"openBrowser("""")",Chrome 106.0.0.0,,,2022-10-10 15:40:08,2022-10-10 15:40:11,3.320s,PASSED
deleteAllCookies(),Chrome 106.0.0.0,,,2022-10-10 15:40:11,2022-10-10 15:40:11,0.078s,PASSED
maximizeWindow(),Chrome 106.0.0.0,,,2022-10-10 15:40:11,2022-10-10 15:40:11,0.185s,PASSED
"navigateToUrl(""https://dev.embla.no/"")",Chrome 106.0.0.0,,,2022-10-10 15:40:11,2022-10-10 15:40:15,3.914s,PASSED
delay(3),Chrome 106.0.0.0,,,2022-10-10 15:40:15,2022-10-10 15:40:18,3.031s,PASSED
"click(findTestObject(""Objects Base/Page_Embla Norsk Familiehistorie/input_Passord_Email""))",Chrome 106.0.0.0,,,2022-10-10 15:40:18,2022-10-10 15:40:19,0.507s,PASSED
"setText(findTestObject(""Objects Base/Page_Embla Norsk Familiehistorie/input_Passord_Email"", [""variable"":""eranga@embla.asia""]), ""eranga@embla.asia"")",Chrome 106.0.0.0,,,2022-10-10 15:40:19,2022-10-10 15:40:19,0.757s,PASSED
"click(findTestObject(""Objects Base/Page_Embla Norsk Familiehistorie/input_Passord_Password""))",Chrome 106.0.0.0,,,2022-10-10 15:40:19,2022-10-10 15:40:20,0.423s,PASSED
"setText(findTestObject(""Objects Base/Page_Embla Norsk Familiehistorie/input_Passord_Password""), ""test123"")",Chrome 106.0.0.0,,,2022-10-10 15:40:20,2022-10-10 15:40:21,0.695s,PASSED
delay(1),Chrome 106.0.0.0,,,2022-10-10 15:40:21,2022-10-10 15:40:22,1.004s,PASSED
"click(findTestObject(""Objects Base/Page_Embla Norsk Familiehistorie/input_Passord_login_locktop login2""))",Chrome 106.0.0.0,,,2022-10-10 15:40:22,2022-10-10 15:40:32,10.546s,PASSED
