Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
SmokeTestSuite,Chrome 106.0.0.0,,,2022-10-11 09:32:04,2022-10-11 09:34:43,2m - 38.617s,FAILED
,,,,,,,
Test Cases/SmokeTestCases/Login,Chrome 106.0.0.0,,,2022-10-11 09:32:05,2022-10-11 09:32:41,36.210s,PASSED
"openBrowser("""")",Chrome 106.0.0.0,,,2022-10-11 09:32:05,2022-10-11 09:32:07,2.403s,PASSED
deleteAllCookies(),Chrome 106.0.0.0,,,2022-10-11 09:32:07,2022-10-11 09:32:07,0.033s,PASSED
maximizeWindow(),Chrome 106.0.0.0,,,2022-10-11 09:32:07,2022-10-11 09:32:08,0.149s,PASSED
"navigateToUrl(""https://dev.embla.no/"")",Chrome 106.0.0.0,,,2022-10-11 09:32:08,2022-10-11 09:32:12,4.157s,PASSED
delay(3),Chrome 106.0.0.0,,,2022-10-11 09:32:12,2022-10-11 09:32:15,3.030s,PASSED
"click(findTestObject(""Objects Base/Page_Embla Norsk Familiehistorie/input_Passord_Email""))",Chrome 106.0.0.0,,,2022-10-11 09:32:15,2022-10-11 09:32:15,0.410s,PASSED
"setText(findTestObject(""Objects Base/Page_Embla Norsk Familiehistorie/input_Passord_Email"", [""variable"":""eranga@embla.asia""]), ""eranga@embla.asia"")",Chrome 106.0.0.0,,,2022-10-11 09:32:15,2022-10-11 09:32:16,0.659s,PASSED
"click(findTestObject(""Objects Base/Page_Embla Norsk Familiehistorie/input_Passord_Password""))",Chrome 106.0.0.0,,,2022-10-11 09:32:16,2022-10-11 09:32:16,0.365s,PASSED
"setText(findTestObject(""Objects Base/Page_Embla Norsk Familiehistorie/input_Passord_Password""), ""test123"")",Chrome 106.0.0.0,,,2022-10-11 09:32:16,2022-10-11 09:32:17,0.638s,PASSED
delay(1),Chrome 106.0.0.0,,,2022-10-11 09:32:17,2022-10-11 09:32:18,1.005s,PASSED
"click(findTestObject(""Objects Base/Page_Embla Norsk Familiehistorie/input_Passord_login_locktop login2""))",Chrome 106.0.0.0,,,2022-10-11 09:32:18,2022-10-11 09:32:26,8.498s,PASSED
"navigateToUrl(""https://dev.embla.no/Account/Login"")",Chrome 106.0.0.0,,,2022-10-11 09:32:26,2022-10-11 09:32:27,0.432s,PASSED
waitForPageLoad(0),Chrome 106.0.0.0,,,2022-10-11 09:32:27,2022-10-11 09:32:27,0.112s,PASSED
"click(findTestObject(""Objects Base/Page_Embla Norsk Familiehistorie/a_Versjon 10""))",Chrome 106.0.0.0,,,2022-10-11 09:32:27,2022-10-11 09:32:38,11.020s,PASSED
delay(3),Chrome 106.0.0.0,,,2022-10-11 09:32:38,2022-10-11 09:32:41,3.005s,PASSED
,,,,,,,
Test Cases/SmokeTestCases/CreateNewFamilyTree,Chrome 106.0.0.0,,,2022-10-11 09:32:41,2022-10-11 09:33:19,37.805s,PASSED
